Id substituicao,Id partida,Id time,Id Jogador Substituido,Id Jogador Substituto,Tempo,Acrescimo
291,94537,151,10364,10361,83,
292,94537,131,10242,9396,89,
293,94538,154,10256,10434,59,
294,94538,154,10424,10428,64,
295,94538,127,10168,10177,72,
296,94538,154,10425,10429,72,
297,94538,127,10171,10175,82,
298,94538,127,2488,2511,88,
299,94516,151,10352,10348,23,
300,94516,120,10072,10078,55,
301,94516,151,10356,10346,64,
302,94516,120,10068,10076,68,
303,94516,151,10361,10362,76,
304,94516,120,10067,10073,82,
305,94517,119,10378,10385,16,
306,94517,150,10464,64288,46,
307,94517,150,10028,10463,69,
308,94517,119,10402,10403,72,
309,94517,119,10391,10397,80,
310,94517,150,10474,10475,80,
311,94518,128,9994,9997,46,
312,94518,128,9989,2428,55,
313,94518,128,9980,9988,75,
314,94518,121,9920,9928,77,
315,94518,121,9932,9923,81,
316,94518,121,9921,9924,89,
317,94519,126,9964,9957,13,
318,94519,126,9972,9965,46,
319,94519,126,9959,9970,69,
320,94519,118,10036,10027,70,
321,94519,118,10041,10044,70,
322,94519,118,10042,10038,83,
323,94520,133,10571,10569,56,
324,94520,133,10574,10567,56,
325,94520,133,10573,10580,62,
326,94520,145,10531,10532,67,
327,94520,145,10527,10545,71,
328,94520,145,10368,10541,77,
329,94521,129,10292,119666,46,
330,94521,129,10275,10283,63,
331,94521,129,119666,10290,71,
332,94521,145,10368,10541,79,
333,94521,145,10531,10532,79,
334,94521,145,10514,10529,85,
335,94522,124,10326,10322,46,
336,94522,124,10315,10311,46,
337,94522,124,10321,10296,69,
338,94522,118,10039,10042,72,
339,94522,118,10027,10034,80,
340,94522,118,10041,10044,88,
341,94523,120,10071,10066,46,
342,94523,121,9913,9908,72,
343,94523,120,10073,10078,74,
344,94523,121,9932,9926,74,
345,94523,120,10068,10061,80,
346,94523,121,9918,9928,86,
347,94524,126,9955,9959,59,
348,94524,126,9949,9967,70,
349,94524,131,10244,10241,73,
350,94524,126,9962,9965,80,
351,94524,131,10261,10257,82,
352,94524,131,10258,10249,87,
353,94525,135,10094,10106,46,
354,94525,132,10200,10202,54,
355,94525,135,10096,10102,55,
356,94525,132,10203,10214,64,
357,94525,135,10098,10105,82,
358,94525,132,10217,10223,83,
359,94526,150,10028,10463,46,
360,94526,150,64288,10459,71,
361,94526,151,10356,10346,73,
362,94526,151,10364,64046,77,
363,94526,150,10473,10470,87,
364,94526,151,10348,10363,87,
365,94527,134,10493,10127,58,
366,94527,127,2511,10177,74,
367,94527,127,10162,10157,81,
368,94527,134,10138,10135,81,
369,94527,127,10174,10178,85,
370,94527,134,10149,10116,87,
371,94528,154,10432,10438,60,
372,94528,154,10425,10434,60,
373,94528,133,10570,10567,63,
374,94528,154,10421,10428,73,
375,94528,133,10564,10571,78,
376,94528,133,10578,10579,78,
377,94529,130,10505,10503,46,
378,94529,130,10501,10507,46,
379,94529,1062,9880,9901,64,
380,94529,1062,9899,9889,70,
381,94529,130,10491,10492,79,
382,94529,1062,9882,9883,83,
383,94530,128,10000,10004,46,
384,94530,128,2454,2428,63,
385,94530,119,10387,10392,70,
386,94530,128,9994,10008,71,
387,94530,119,10402,10400,73,
388,94530,119,10401,10406,77,
389,94531,124,10301,10315,32,
390,94531,124,10326,10330,46,
391,94531,134,10134,10127,62,
392,94531,134,10133,10142,71,
393,94531,134,10128,10129,76,
394,94531,124,10328,9975,78,
395,94532,150,10462,10470,57,
396,94532,1062,9899,9886,63,
397,94532,1062,2492,9901,64,
398,94532,150,64288,10463,69,
399,94532,150,10450,10449,81,
400,94532,1062,9888,9889,86,
401,94533,118,10042,10039,64,
402,94533,130,10503,10505,65,
403,94533,130,10496,10507,66,
404,94533,118,10044,10027,72,
405,94533,118,10034,10033,80,
406,94533,130,10481,69198,80,
407,94539,145,10543,10541,46,
408,94539,119,10376,10397,62,
409,94539,145,10531,10545,70,
410,94539,119,10402,10404,73,
411,94539,119,10396,10386,80,
412,94539,145,10514,10529,80,
413,94540,126,9959,9967,46,
414,94540,135,10098,10105,69,
415,94540,135,10093,10102,73,
416,94540,126,9966,9949,78,
417,94540,126,9962,10332,78,
418,94540,135,10104,10103,87,
419,94541,126,9955,10332,40,
420,94541,145,10523,10532,55,
421,94541,126,9962,9967,58,
422,94541,145,10527,10538,67,
423,94541,126,9969,9961,71,
424,94541,145,10368,10541,74,
425,94542,118,10042,10039,27,
426,94542,129,119666,10292,56,
427,94542,118,10034,10027,61,
428,94542,129,77665,10294,67,
429,94542,118,10044,10038,74,
430,94542,129,10275,10283,84,
431,94543,131,10236,10233,18,
432,94543,135,10103,10108,65,
433,94543,135,10106,10105,65,
434,94543,131,10252,10331,71,
435,94543,135,10093,10091,76,
436,94543,131,10242,10240,82,
437,94544,150,64288,10464,63,
438,94544,120,10073,10076,69,
439,94544,120,10068,80475,70,
440,94544,150,10474,10459,79,
441,94544,150,9963,10456,85,
442,94544,120,10074,10060,86,
443,94545,124,9975,10322,46,
444,94545,127,10171,10175,46,
445,94545,127,10174,10177,78,
446,94545,127,2511,10167,89,
447,94546,151,10351,10344,6,
448,94546,151,10352,10348,40,
449,94546,132,10203,9726,64,
450,94546,132,10390,10270,69,
451,94546,151,10356,10346,79,
452,94546,132,10202,10214,80,
453,94547,154,10412,10421,31,
454,94547,130,10503,10500,54,
455,94547,154,10435,10256,61,
456,94547,130,10492,10505,75,
457,94547,154,10429,10427,77,
458,94547,130,10507,69198,85,
459,94548,121,9921,9928,46,
460,94548,134,10493,10142,59,
461,94548,134,10124,10120,62,
462,94548,121,9918,9920,67,
463,94548,134,10116,10144,81,
464,94548,121,9929,9924,85,
465,94549,1062,2492,9901,57,
466,94549,128,10506,10000,66,
