id_cartao_amarelo,id_partida,id_time,id_Jogador,tempo,acrescimo
213,94517,119,10377,57,
214,94518,128,2519,37,
215,94518,121,9939,38,
216,94518,128,9992,40,
217,94518,128,9995,70,
218,94518,128,9988,78,
219,94518,121,9929,84,
220,94519,118,10036,34,
221,94519,126,,38,
222,94519,118,10031,51,
223,94519,118,10013,75,
224,94520,133,10565,49,
225,94520,145,10513,73,
226,94520,145,10368,76,
227,94521,129,10292,28,
228,94521,129,77665,35,
229,94521,145,10519,45,
230,94521,129,10265,45,
231,94521,145,10368,56,
232,94521,145,10525,65,
233,94521,145,10544,76,
234,94522,118,10040,6,
235,94522,124,10315,6,
236,94522,124,10299,63,
237,94522,124,10299,66,
238,94522,118,10013,79,
239,94522,124,10306,85,
240,94523,120,10068,38,
241,94523,120,10054,39,
242,94523,120,10071,41,
243,94523,120,10062,44,
244,94523,120,10056,50,
245,94523,120,10051,59,
246,94523,120,2497,60,
247,94523,120,10069,61,
248,94523,120,10072,63,
249,94523,120,10066,69,
250,94524,126,9971,35,
251,94524,126,9949,69,
252,94524,131,10242,76,
253,94524,126,9967,77,
254,94524,131,10230,80,
255,94524,131,10252,90,
256,94524,126,9959,90,
257,94525,135,10090,36,
258,94525,132,10202,81,
259,94525,132,10217,83,
260,94525,132,10192,88,
261,94526,150,10272,8,
262,94526,151,10339,29,
263,94526,150,10450,55,
264,94526,150,10440,88,
265,94527,134,10112,28,
266,94527,127,10171,34,
267,94527,127,10180,70,
268,94527,127,10162,79,
269,94527,134,10128,83,
270,94527,127,10156,90,
271,94527,134,10119,90,
272,94528,133,10565,39,
273,94528,154,10438,90,
274,94528,133,10281,90,
275,94529,1062,9899,28,
276,94529,130,10498,45,
277,94529,1062,9882,45,
278,94529,1062,9865,71,
279,94529,1062,9901,90,
280,94530,119,10386,26,
281,94530,119,10402,34,
282,94530,128,9994,35,
283,94530,119,10406,43,
284,94530,119,10385,45,
285,94530,128,9987,54,
286,94530,128,2454,57,
287,94530,128,9991,65,
288,94530,119,10375,80,
289,94530,128,9992,90,
290,94531,124,10318,17,
291,94531,134,10133,41,
292,94531,124,10306,41,
293,94531,124,10330,64,
294,94532,150,10452,18,
295,94532,150,10450,22,
296,94532,150,10272,89,
297,94533,130,10485,54,
298,94533,130,10481,61,
299,94533,118,10040,88,
300,94540,135,10101,45,
301,94540,126,9958,48,
302,94540,135,10098,53,
303,94540,135,10093,65,
304,94540,126,10332,81,
305,94541,145,10523,26,
306,94541,145,10368,34,
307,94541,145,10513,34,
308,94541,126,9969,62,
309,94541,126,9958,73,
310,94541,145,10532,80,
311,94541,145,10519,83,
312,94542,129,10267,65,
313,94542,118,10040,77,
314,94542,118,10031,77,
315,94542,129,10275,79,
316,94543,135,10101,70,
317,94543,131,10232,85,
318,94544,150,10272,51,
319,94544,150,10448,75,
320,94544,120,10076,85,
321,94545,127,2511,2,
322,94545,124,10319,16,
323,94545,127,10162,44,
324,94545,127,10168,64,
325,94545,124,10303,82,
326,94546,151,10336,45,
327,94546,151,10359,71,
328,94547,154,10417,74,
329,94547,154,10410,85,
330,94547,130,10501,89,
331,94547,154,10408,89,
332,94547,154,10419,90,
333,94548,121,9929,12,
334,94548,134,10124,29,
335,94548,134,10128,35,
336,94548,134,10133,38,
337,94548,134,10119,78,
338,94548,121,9932,90,
339,94549,1062,9876,45,
340,94549,1062,9882,80,
341,94549,128,9991,90,
342,94550,119,10385,90,
343,94550,119,10406,90,
344,94551,126,9953,45,
345,94551,126,9966,50,
346,94551,1062,9892,57,
347,94551,1062,9865,63,
348,94551,126,9967,66,
349,94551,126,9942,74,
350,94552,130,10492,61,
351,94552,120,10061,83,
352,94552,130,10505,87,
353,94553,124,10300,45,
354,94553,124,10319,49,
355,94553,124,10311,67,
356,94553,132,10222,67,
357,94553,132,10390,69,
358,94553,124,10304,72,
359,94553,124,10325,85,
360,94553,124,10315,86,
361,94553,124,10319,89,
362,94554,150,10462,45,
363,94554,150,9963,55,
364,94554,150,10522,80,
365,94554,127,10174,87,
366,94555,135,10088,21,
367,94555,135,10087,35,
368,94555,135,10093,45,
369,94555,154,,50,
370,94555,135,,50,
371,94555,135,10101,51,
372,94555,135,10100,73,
373,94556,134,10143,8,
374,94556,151,10349,15,
375,94556,134,10128,54,
376,94556,134,10135,61,
377,94557,118,10027,89,
378,94557,119,10377,90,
379,94558,121,9918,29,
380,94558,145,10520,56,
381,94559,131,10230,47,
382,94559,128,9980,53,
383,94559,128,10004,60,
384,94559,131,10261,61,
385,94559,131,10233,67,
386,94559,128,9992,81,
387,94559,128,9988,85,
388,94559,131,10258,89,
389,94560,129,10265,77,
390,94560,129,10279,82,
391,94561,119,10383,24,
392,94561,119,10395,68,
393,94561,134,10123,75,
394,94561,119,10397,81,
395,94561,134,10143,90,
396,94561,134,10119,90,
397,94562,118,10034,41,
398,94562,128,9980,57,
399,94562,128,2454,58,
400,94562,128,9987,80,
401,94562,118,10013,90,
402,94563,1062,9866,2,
403,94563,132,10196,10,
404,94563,1062,9886,13,
405,94563,132,10197,61,
406,94563,132,10199,71,
407,94563,1062,51597,85,
408,94563,1062,9868,90,
409,94563,1062,9900,90,
410,94564,150,10028,28,
411,94564,131,2411,31,
412,94564,150,10449,45,
413,94564,131,10252,54,
414,94564,150,10290,57,
415,94564,150,9341,65,
416,94564,150,10470,81,
417,94564,150,10448,87,
418,94566,151,10336,29,
419,94566,127,10173,42,
420,94566,151,10359,60,
421,94567,129,10279,16,
422,94567,124,10311,62,
423,94567,129,10264,62,
424,94567,124,10306,85,
425,94568,154,10256,9,
426,94568,145,10066,29,
427,94568,154,10417,69,
428,94568,145,10530,72,
429,94569,133,10240,7,
430,94569,130,10481,34,
431,94569,133,10578,48,
432,94569,133,10558,66,
433,94569,133,10547,66,
434,94569,130,10492,77,
435,94570,121,9928,22,
436,94570,126,2571,37,
437,94570,121,9908,44,
438,94570,126,9966,45,
439,94570,121,9935,55,
440,94570,126,10108,90,
441,94571,154,10437,13,
442,94571,154,10420,43,
443,94571,154,10256,43,
444,94571,1062,51597,63,
445,94571,154,10408,80,
446,94572,151,10349,6,
447,94572,151,10356,45,
448,94572,145,10508,69,
449,94572,145,10532,69,
450,94572,145,10368,83,
451,94572,145,10541,83,
452,94573,118,10039,35,
453,94573,118,10039,42,
454,94573,118,10019,56,
455,94573,135,10085,80,
456,94574,120,10054,10,
457,94574,128,9992,12,
458,94574,128,9991,18,
459,94574,128,9991,49,
460,94574,120,10050,51,
461,94574,120,10054,69,
462,94574,128,10506,77,
463,94575,129,10265,4,
464,94575,121,9929,45,
465,94575,129,77714,58,
466,94575,129,10003,75,
467,94575,121,2502,75,
468,94576,131,10258,38,
469,94576,127,10156,50,
470,94576,127,10175,58,
471,94576,127,10171,63,
472,94576,127,10157,90,
473,94576,127,10175,90,
474,94577,150,10450,50,
475,94577,150,41277,80,
476,94577,134,10128,80,
477,94578,119,10384,10,
478,94578,130,10492,76,
479,94578,119,10406,82,
480,94578,119,10387,90,
481,94578,130,10490,90,
482,94579,126,9949,36,
483,94579,132,10196,75,
484,94579,132,10222,83,
485,94579,132,10199,90,
486,94580,133,10581,21,
487,94580,124,10320,21,
488,94580,133,10574,36,
489,94580,124,10307,36,
490,94580,124,10307,57,
491,94580,124,10317,61,
492,94580,133,10579,90,
493,94580,133,10561,90,
494,94581,132,10211,54,
495,94581,118,10019,90,
496,94582,135,10104,35,
497,94583,130,10483,23,
498,94583,150,10448,39,
499,94583,150,10290,57,
500,94583,130,10481,59,
501,94583,150,10462,60,
502,94583,150,10440,90,
503,94584,120,10076,17,
504,94584,127,10174,26,
505,94584,120,10051,26,
506,94584,127,500,41,
507,94584,127,2488,44,
508,94584,127,30408,69,
509,94584,127,2424,87,
510,94585,126,9959,52,
511,94585,126,2571,78,
512,94585,124,10319,90,
513,94585,126,9955,90,
514,94586,154,10287,2,
515,94586,131,10236,12,
516,94586,154,10427,55,
