idGol,idPartida,idTime,idJogadorGol,idJogadorAssistencia,tempo,acrescimo
187,94551,1062,9893,,44,
188,94551,126,9972,9970.0,73,
189,94552,130,10491,,81,
190,94553,132,10222,10390.0,3,
191,94553,124,10311,,59,
192,94554,127,10177,10168.0,65,
193,94554,127,10174,,77,
194,94555,154,10256,10419.0,3,
195,94555,135,10103,10106.0,11,
196,94555,154,10256,10287.0,45,2.0
197,94556,151,10362,,6,
198,94556,151,10359,10362.0,32,
199,94556,134,10344,,90,2.0
200,94557,119,10395,10406.0,18,
201,94557,119,10406,,61,
202,94557,118,10044,10039.0,78,
203,94557,119,10391,10388.0,81,
204,94558,121,9934,9916.0,32,
205,94558,121,9921,9918.0,66,
206,94559,128,10004,9985.0,59,
207,94560,133,10552,,80,
208,94561,134,10147,,89,
209,94562,128,10000,,87,
210,94563,132,10222,10197.0,1,
211,94563,1062,9868,9900.0,80,
212,94563,1062,9886,,90,9.0
213,94564,131,10261,10254.0,78,
214,94566,127,2612,10174.0,6,
215,94566,151,10362,,12,
216,94566,127,10180,,44,
217,94566,127,2612,10180.0,45,1.0
218,94566,127,2612,10174.0,45,5.0
219,94566,127,10174,2612.0,56,
220,94566,127,10174,2612.0,81,
221,94567,124,10321,10306.0,41,
222,94567,129,10271,10269.0,45,4.0
223,94568,154,10437,,43,
224,94568,154,10437,10438.0,67,
225,94569,133,10581,,15,
226,94569,130,10500,10502.0,61,
227,94569,130,10500,10482.0,86,
228,94570,126,9976,9959.0,10,
229,94570,121,9939,9934.0,71,
230,94571,1062,10287,,7,
231,94571,1062,9880,,14,
232,94571,154,10419,10413.0,65,
233,94571,154,10287,,72,
234,94574,128,10506,9988.0,75,
235,94575,129,80171,,32,
236,94575,129,10292,,72,
237,94576,131,10258,,62,
238,94576,127,10174,,85,
239,94577,134,10117,10147.0,41,
240,94577,134,10493,10126.0,60,
241,94577,134,10129,10147.0,86,
242,94577,134,10149,10126.0,90,3.0
243,94578,119,10483,,22,
244,94578,130,10502,10481.0,71,
245,94579,126,9971,9955.0,49,
246,94579,126,9969,9955.0,53,
247,94579,126,10108,,56,
248,94579,126,9962,9949.0,90,1.0
249,94580,124,10321,,45,2.0
250,94580,133,10553,10579.0,67,
251,94580,133,10573,,76,
252,94582,134,10123,,30,
253,94582,134,10135,10142.0,77,
254,94584,120,10069,10057.0,14,
255,94584,127,30408,500.0,35,
256,94584,127,10174,,54,
257,94584,120,10072,,67,
258,94584,127,10180,500.0,74,
259,94585,126,9946,9959.0,20,
260,94585,124,10328,,36,
261,94585,126,9946,,90,7.0
262,94586,154,10237,,40,
263,94586,131,10254,,67,
264,94586,131,10244,10241.0,71,
265,94586,131,10230,10258.0,81,
266,94588,119,10397,10392.0,39,
267,94589,133,10574,10567.0,3,
268,94589,121,9926,,15,
269,94590,128,2519,,9,
270,94590,145,10525,80312.0,28,
271,94590,128,10000,2454.0,33,
272,94590,128,9989,9985.0,78,
273,94591,126,9962,9964.0,40,
274,94592,1062,9886,9894.0,45,1.0
275,94592,1062,9883,,90,2.0
276,94593,120,10067,10068.0,19,
277,94593,120,10052,10048.0,50,
278,94594,118,10041,10015.0,20,
279,94594,118,10041,,31,
280,94594,118,10041,10040.0,45,6.0
281,94595,129,80166,10292.0,15,
282,94595,129,10003,10275.0,18,
283,94595,154,10287,,45,2.0
284,94596,131,10237,10252.0,13,
285,94596,121,9929,9934.0,48,
286,94597,124,10328,10316.0,58,
287,94597,124,1065,,68,
288,94597,119,10387,,90,2.0
289,94598,130,10485,10501.0,9,
290,94598,132,10222,,12,
291,94598,130,2414,10498.0,26,
292,94598,132,10203,10390.0,34,
293,94598,132,10006,10207.0,60,
294,94598,130,10507,10502.0,80,
295,94599,128,10000,2454.0,9,
296,94599,128,9991,10000.0,15,
297,94599,128,9992,,37,
298,94599,128,10004,10000.0,52,
299,94599,128,2454,,68,
300,94599,128,2454,10506.0,81,
301,94599,151,10362,10359.0,90,1.0
302,94601,1062,9880,,42,
303,94601,1062,9894,9888.0,51,
304,94601,124,9970,10329.0,88,
305,94602,145,10526,10544.0,23,
306,94602,135,10106,,62,
307,94602,145,10368,,74,
308,94602,135,10103,10105.0,90,3.0
309,94603,134,10493,,16,
310,94603,120,10073,,31,
311,94603,120,10072,,77,
312,94604,129,80166,10275.0,45,6.0
313,94604,129,10003,50532.0,57,
314,94604,129,80166,,61,
315,94604,132,9726,10203.0,89,
316,94604,129,80166,10003.0,90,
317,94605,154,10416,10287.0,5,
318,94605,154,10436,10438.0,37,
319,94606,127,10173,2612.0,29,
320,94606,130,10484,,45,6.0
321,94606,127,2612,,50,
322,94606,127,10168,10173.0,90,2.0
323,94607,133,10564,10281.0,22,
324,94609,121,9939,,13,
325,94609,118,10041,,53,
326,94609,121,9939,,58,
327,94609,118,10041,,85,
328,94610,128,10004,,44,
329,94610,126,9972,9959.0,49,
330,94610,126,9946,,57,
331,94610,126,9972,,72,
332,94610,128,10108,,86,
333,94611,134,10142,10150.0,38,
334,94612,151,10343,10340.0,34,
335,94612,118,9927,,71,
336,94613,132,10222,,73,
337,94614,131,10254,10244.0,42,
338,94614,131,10331,,56,
339,94615,135,10104,10098.0,44,
340,94615,135,10098,10104.0,47,
341,94616,150,9963,41277.0,79,
342,94617,119,10398,,66,
343,94618,121,9939,9923.0,14,
344,94618,130,50081,10323.0,88,
