,Time mandante,Time visitante,Time vermelho,Jogador,Primeiro / Segundo Tempo,Minuto
0,Ceara,Fortaleza,Fortaleza,Carlos Emiliano Pereira,2,43
1,Flamengo,Cruzeiro,Cruzeiro,Murilo Cerqueira Paim,2,39
2,Gremio,Santos,Santos,Derlis Alberto Gonzalez Galeano,2,49
3,Bahia,Flamengo,Bahia,Jose Fernando Viana de Santana,2,44
4,Ceara,CSA,CSA,Joao Carlos Heidemann,1,47
5,Atletico,Gremio,Atletico,Juan Ramon Cazares Sevillano,2,22
6,Vasco da Gama,Fortaleza,Fortaleza,Gabriel Dias de Oliveira,2,33
7,Avai,Botafogo,Avai,Andre Francisco Moritz,2,35
