,Time mandante,Time visitante,Time amarelo,Jogador,Primeiro/Segundo tempo,Minuto
83,Ceara,Avai,Ceara,Fabio Goncalves,1.0,28.0
84,Ceara,Avai,Avai,Matheus Barbosa Teixeira,1.0,33.0
85,Ceara,Avai,Avai,Joao Paulo da Silva Alves,2.0,49.0
86,Ceara,Avai,Avai,Wesley Soares Xavier,2.0,48.0
87,Internacional,Santos,Santos,Jorge Luis Sampaoli,2.0,13.0
88,Internacional,Santos,Santos,Jean Mota Oliveira de Sousa,2.0,35.0
89,Internacional,Santos,Santos,Fernando Uribe Hincapie,2.0,40.0
90,Internacional,Santos,Santos,Mario Sergio Santos Costa,1.0,45.0
91,Internacional,Santos,Internacional,Victor Leandro Cuesta,2.0,2.0
92,Internacional,Santos,Internacional,Ricardo Colbachini,2.0,13.0
93,Internacional,Santos,Internacional,Andres Nicolas Dalessandro,2.0,27.0
